Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,120.16000366210938,122.20999908447266,119.5999984741211,121.51000213623047,113.36327362060547,4261700
2022-10-04,122.80000305175781,125.6500015258789,122.5199966430664,125.5,117.08575439453125,4566100
2022-10-05,124.70999908447266,126.45999908447266,124.2300033569336,125.73999786376953,117.3096694946289,3212900
2022-10-06,124.87999725341797,125.30000305175781,121.7699966430664,122.2300033569336,114.03500366210938,5074600
2022-10-07,121.5,121.80000305175781,118.06999969482422,118.81999969482422,110.85363006591797,4499700
2022-10-10,119.79000091552734,119.95999908447266,117.04000091552734,117.75,109.8553695678711,5990000
2022-10-11,117.45999908447266,119.2300033569336,116.94000244140625,117.80000305175781,109.90202331542969,4043100
2022-10-12,118.0,118.80999755859375,117.19999694824219,117.56999969482422,109.68743133544922,3338800
2022-10-13,116.0999984741211,122.1500015258789,115.55000305175781,121.79000091552734,113.62449645996094,5837500
2022-10-14,121.80000305175781,122.54000091552734,119.83999633789062,120.04000091552734,111.99182891845703,3762400
2022-10-17,121.80000305175781,122.87999725341797,121.43000030517578,121.5199966430664,113.37259674072266,5458600
2022-10-18,123.0,123.94000244140625,121.81999969482422,122.94000244140625,114.69740295410156,5120300
2022-10-19,122.36000061035156,123.94000244140625,121.98999786376953,122.51000213623047,114.29623413085938,5906600
2022-10-20,126.25,128.9600067138672,125.1500015258789,128.3000030517578,119.69803619384766,13623100
2022-10-21,128.38999938964844,130.85000610351562,127.58999633789062,129.89999389648438,121.19076538085938,7201300
2022-10-24,130.89999389648438,133.11000061035156,129.85000610351562,132.69000244140625,123.79370880126953,5610900
2022-10-25,132.0,133.3000030517578,131.3000030517578,132.92999267578125,124.01760864257812,5957600
2022-10-26,133.72000122070312,135.86000061035156,132.80999755859375,135.00999450683594,125.9581527709961,5139000
2022-10-27,135.5500030517578,136.39999389648438,134.4499969482422,134.77000427246094,125.73424530029297,3993200
2022-10-28,135.55999755859375,138.86000061035156,135.22000122070312,138.50999450683594,129.22349548339844,5965500
2022-10-31,138.05999755859375,138.77000427246094,136.60000610351562,138.2899932861328,129.01824951171875,4915300
2022-11-01,138.25,138.64999389648438,136.6999969482422,138.1999969482422,128.9342803955078,3590600
2022-11-02,137.75,140.1699981689453,136.8000030517578,136.8300018310547,127.65614318847656,5360500
2022-11-03,136.4199981689453,136.47999572753906,133.97000122070312,134.47000122070312,125.45435333251953,4442400
2022-11-04,135.64999389648438,137.72999572753906,134.94000244140625,136.9600067138672,127.77743530273438,4178000
2022-11-07,136.63999938964844,138.6999969482422,136.50999450683594,138.33999633789062,129.06488037109375,4043100
2022-11-08,139.0,140.92999267578125,138.72000122070312,140.0399932861328,130.6509246826172,5042800
2022-11-09,137.9499969482422,138.89999389648438,136.94000244140625,137.38999938964844,129.7068328857422,4720000
2022-11-10,140.25999450683594,141.3699951171875,138.2899932861328,141.22999572753906,133.33209228515625,5389000
2022-11-11,141.5,144.1300048828125,140.9600067138672,143.1699981689453,135.16360473632812,5871300
2022-11-14,142.6300048828125,146.0800018310547,142.17999267578125,144.1999969482422,136.13601684570312,5293500
2022-11-15,144.0800018310547,146.16000366210938,142.0,144.33999633789062,136.2681884765625,4727100
2022-11-16,144.1300048828125,144.9499969482422,144.00999450683594,144.52000427246094,136.4381103515625,3445200
2022-11-17,143.41000366210938,146.17999267578125,143.25,146.08999633789062,137.92031860351562,3954000
2022-11-18,146.55999755859375,148.30999755859375,145.94000244140625,147.63999938964844,139.38363647460938,4661700
2022-11-21,147.5500030517578,147.92999267578125,146.4499969482422,146.67999267578125,138.47732543945312,3476200
2022-11-22,147.60000610351562,149.35000610351562,147.02000427246094,149.10000610351562,140.76197814941406,7062100
2022-11-23,149.10000610351562,150.4600067138672,148.3000030517578,148.75,140.4315643310547,3658200
2022-11-25,148.27000427246094,149.49000549316406,148.10000610351562,148.3699951171875,140.07281494140625,2075200
2022-11-28,147.97999572753906,148.24000549316406,145.94000244140625,146.17999267578125,138.00526428222656,3538100
2022-11-29,145.91000366210938,147.1699981689453,145.6999969482422,146.49000549316406,138.29794311523438,2754700
2022-11-30,146.19000244140625,149.63999938964844,145.6699981689453,148.89999389648438,140.57315063476562,6377600
2022-12-01,149.97999572753906,150.00999450683594,147.33999633789062,149.16000366210938,140.8186492919922,4495900
2022-12-02,148.1300048828125,149.16000366210938,147.72999572753906,148.6699981689453,140.3560333251953,2900000
2022-12-05,147.94000244140625,148.92999267578125,146.8000030517578,147.41000366210938,139.16650390625,2784600
2022-12-06,147.3000030517578,147.8000030517578,146.6999969482422,147.5,139.25148010253906,2847600
2022-12-07,147.3300018310547,148.10000610351562,146.2899932861328,147.27000427246094,139.03433227539062,3971300
2022-12-08,147.89999389648438,149.14999389648438,147.3699951171875,147.77999877929688,139.51580810546875,2665700
2022-12-09,147.39999389648438,148.33999633789062,146.97000122070312,147.0500030517578,138.82664489746094,3047600
2022-12-12,147.82000732421875,149.2100067138672,146.94000244140625,149.2100067138672,140.8658447265625,4032800
2022-12-13,150.3699951171875,153.2100067138672,149.9499969482422,150.57000732421875,142.1497802734375,8811500
2022-12-14,150.47000122070312,151.91000366210938,148.4499969482422,149.86000061035156,141.4794921875,4205900
